iter	Passed	Remaining
578	1821	1324
579	1823	1320
580	1825	1316
581	1827	1312
582	1830	1309
583	1832	1305
584	1833	1300
585	1834	1296
586	1836	1292
587	1837	1287
588	1839	1283
589	1840	1279
590	1842	1275
591	1845	1271
592	1846	1267
593	1848	1263
594	1850	1259
595	1851	1255
596	1853	1250
597	1854	1246
598	1856	1242
599	1857	1238
600	1860	1235
601	1862	1231
602	1863	1227
603	1865	1223
604	1867	1219
605	1868	1215
606	1870	1210
607	1871	1206
608	1874	1203
609	1876	1199
610	1878	1195
611	1879	1191
612	1881	1187
613	1882	1183
614	1884	1179
615	1885	1175
616	1887	1171
617	1890	1168
618	1891	1164
619	1893	1160
620	1894	1156
621	1896	1152
622	1897	1148
623	1899	1144
624	1900	1140
625	1903	1137
626	1907	1134
627	1909	1130
628	1911	1127
629	1913	1124
630	1915	1120
631	1916	1116
632	1921	1113
633	1923	1110
634	1924	1106
635	1926	1102
636	1928	1098
637	1929	1094
638	1931	1090
639	1932	1087
640	1935	1083
641	1936	1080
642	1938	1076
643	1940	1072
644	1942	1069
645	1944	1065
646	1945	1061
647	1948	1058
648	1950	1055
649	1952	1051
650	1954	1048
651	1956	1044
652	1957	1040
653	1959	1036
654	1960	1032
655	1961	1028
656	1964	1025
657	1966	1021
658	1968	1018
659	1969	1014
660	1970	1010
661	1972	1006
662	1973	1003
663	1975	999
664	1976	995
665	1979	992
666	1981	989
667	1982	985
668	1983	981
669	1985	977
670	1986	974
671	1988	970
672	1989	966
673	1991	963
674	1993	960
675	1995	956
676	1997	952
677	1998	949
678	2000	945
679	2001	941
680	2002	938
681	2004	934
682	2005	930
683	2008	928
684	2010	924
685	2012	921
686	2013	917
687	2015	914
688	2017	910
689	2018	906
690	2020	903
691	2022	900
692	2025	897
693	2026	893
694	2028	890
695	2031	887
696	2033	884
697	2035	880
698	2041	879
699	2044	876
700	2047	873
701	2050	870
702	2054	868
703	2058	865
704	2060	862
705	2062	858
706	2064	855
707	2066	852
708	2072	850
709	2075	847
710	2077	844
711	2079	841
712	2081	837
713	2085	835
714	2087	832
715	2090	829
716	2091	825
717	2094	822
718	2096	819
719	2100	816
720	2103	813
721	2106	811
722	2108	807
723	2110	804
724	2112	801
725	2114	798
726	2116	794
727	2118	791
728	2120	788
729	2121	784
730	2123	781
731	2124	777
732	2127	775
733	2129	771
734	2131	768
735	2132	764
736	2133	761
737	2135	758
738	2136	754
739	2138	751
740	2139	747
741	2143	745
742	2144	741
743	2146	738
744	2147	735
745	2148	731
746	2150	728
747	2151	724
748	2153	721
749	2154	718
750	2157	715
751	2159	712
752	2161	708
753	2162	705
754	2164	702
755	2165	699
756	2167	695
757	2169	692
758	2174	690
759	2176	687
760	2178	684
761	2180	680
762	2181	677
763	2183	674
764	2184	671
765	2188	668
766	2190	665
767	2192	662
768	2194	659
769	2196	656
770	2197	652
771	2199	649
772	2202	646
773	2204	643
774	2206	640
775	2207	637
776	2209	634
777	2211	630
778	2212	627
779	2214	624
780	2217	621
781	2219	618
782	2220	615
783	2222	612
784	2224	609
785	2225	606
786	2227	602
787	2232	600
788	2234	597
789	2236	594
790	2238	591
791	2240	588
792	2241	585
793	2243	582
794	2249	579
795	2251	576
796	2254	574
797	2256	571
798	2259	568
799	2266	566
800	2269	563
801	2271	560
802	2274	557
803	2280	555
804	2283	553
805	2285	550
806	2288	547
807	2297	546
808	2300	543
809	2302	540
810	2305	537
811	2310	534
812	2313	532
813	2318	529
814	2330	528
815	2332	526
816	2340	524
817	2345	521
818	2356	520
819	2370	520
820	2386	520
821	2395	518
822	2404	517
823	2411	515
824	2426	514
825	2434	512
826	2439	510
827	2444	507
828	2448	505
829	2452	502
830	2460	500
831	2463	497
832	2468	494
833	2475	492
834	2477	489
835	2480	486
836	2482	483
837	2485	480
838	2490	478
839	2493	475
840	2496	472
841	2498	468
842	2500	465
843	2504	462
844	2506	459
845	2508	456
846	2511	453
847	2513	450
848	2516	447
849	2520	444
850	2521	441
851	2524	438
852	2525	435
853	2527	432
854	2529	428
855	2530	425
856	2533	422
857	2537	419
858	2539	416
859	2540	413
860	2542	410
861	2544	407
862	2546	404
863	2550	401
864	2552	398
865	2554	395
866	2556	392
867	2559	389
868	2562	386
869	2565	383
870	2574	381
871	2577	378
872	2579	375
873	2583	372
874	2589	369
875	2594	367
876	2597	364
877	2603	361
878	2606	358
879	2609	355
880	2611	352
881	2613	349
882	2619	347
883	2622	344
884	2625	341
885	2628	338
886	2632	335
887	2634	332
888	2636	329
889	2639	326
890	2641	323
891	2643	320
892	2645	316
893	2648	313
894	2649	310
895	2651	307
896	2653	304
897	2655	301
898	2658	298
899	2660	295
900	2663	292
901	2665	289
902	2666	286
903	2668	283
904	2669	280
905	2670	277
906	2672	274
907	2674	270
908	2678	268
909	2680	265
910	2682	262
911	2684	258
912	2685	255
913	2687	252
914	2689	249
915	2695	247
916	2697	244
917	2699	241
918	2702	238
919	2704	235
920	2709	232
921	2711	229
922	2715	226
923	2717	223
924	2719	220
925	2723	217
926	2726	214
927	2728	211
928	2732	208
929	2734	205
930	2739	203
931	2742	200
932	2744	197
933	2746	194
934	2748	191
935	2750	188
936	2755	185
937	2758	182
938	2761	179
939	2763	176
940	2765	173
941	2771	170
942	2773	167
943	2776	164
944	2779	161
945	2784	158
946	2789	156
947	2791	153
948	2794	150
949	2796	147
950	2800	144
951	2803	141
952	2805	138
953	2808	135
954	2810	132
955	2812	129
956	2816	126
957	2818	123
958	2820	120
959	2824	117
960	2826	114
961	2830	111
962	2834	108
963	2836	105
964	2841	103
965	2843	100
966	2849	97
967	2851	94
968	2853	91
969	2855	88
970	2857	85
971	2861	82
972	2863	79
973	2866	76
974	2868	73
975	2870	70
976	2874	67
977	2876	64
978	2878	61
979	2881	58
980	2883	55
981	2884	52
982	2888	49
983	2890	47
984	2892	44
985	2894	41
986	2896	38
987	2897	35
988	2899	32
989	2901	29
990	2903	26
991	2905	23
992	2906	20
993	2907	17
994	2909	14
995	2911	11
996	2913	8
997	2914	5
998	2917	2
999	2919	0
